"product_id","product_name","in_stock","available_units","price","seller_id","category_id","order_date","order_status","payment_type","buyer_id","address_type","first_name","last_name","email","password","user_type","expiry_date","shipping","delivery_date","remaining_available_units"
"P1812000462640","Eco-Friendly Earphones","yes",296,53.99,"S1212000012473","C1912000005294",2022-09-01 00:51:57.139117,"Delivered","Card","B1312000345416","Work","Maylia","Lebron","Maylia.Lebron@hotmail.com","dc235fefdfb639ac4bfb355ba7b2d8cd367d9e95b248cbfc86342820726bcec3","Premium",2024-06-10,0,2022-09-01 00:51:59.139117,NA
"P1812000161795","User-Friendly Toy","yes",72,2.99,"S1212000079917","C1912000008398",2022-09-01 00:51:57.139117,"Delivered","Card","B1312000345416","Work","Maylia","Lebron","Maylia.Lebron@hotmail.com","dc235fefdfb639ac4bfb355ba7b2d8cd367d9e95b248cbfc86342820726bcec3","Premium",2024-06-10,0,2022-09-01 00:51:59.139117,NA
"P1812000050171","Portable Vacuum Cleaner","yes",194,23.99,"S1212000029689","C1912000001514",2022-09-01 00:51:57.139117,"Delivered","Card","B1312000345416","Work","Maylia","Lebron","Maylia.Lebron@hotmail.com","dc235fefdfb639ac4bfb355ba7b2d8cd367d9e95b248cbfc86342820726bcec3","Premium",2024-06-10,0,2022-09-01 00:51:59.139117,NA
"P1812000495711","Eco-Friendly Air Purifier","yes",306,32.99,"S1212000006917","C1912000001514",2022-09-01 01:25:52.36278,"Cancelled","Cash","B1312000336390","Home","Rollins","Zanai","Rollins.Zanai@gmail.com","98c79d648eadf4066761ef8972581f4916d71b29e227c067782d527ac6d45901","VIP",2024-06-18,0,2022-09-01 01:25:53.36278,NA
"P1812000037589","Versatile Vacuum Cleaner","yes",489,35.99,"S1212000143425","C1912000001514",2022-09-01 02:14:43.89027,"Delivered","Cash","B1312000377473","Home","Lafe","Venus","Lafe.Venus@outlook.com","1874549094a37624953f318eac561e8d5f537d35ebdfc980864c2037c716ce74","Premium",2024-07-15,0,2022-09-01 02:14:45.89027,NA
"P1812000353889","Eco-Friendly Razor","yes",25,2.99,"S1212000069873","C1912000002562",2022-09-01 02:14:43.89027,"Delivered","Cash","B1312000377473","Home","Lafe","Venus","Lafe.Venus@outlook.com","1874549094a37624953f318eac561e8d5f537d35ebdfc980864c2037c716ce74","Premium",2024-07-15,0,2022-09-01 02:14:45.89027,NA
"P1812000278337","Comfortable Couch","yes",371,3.99,"S1212000055964","C1912000007217",2022-09-01 02:49:13.553114,"Delivered","Cash","B1312000699226","Work","Jim","Emilee","Jim.Emilee@gmail.com","a8ff3759c5ae5d75e767c0610e140bb07cad3da809ea5945e162e3bdded6d69e","Premium",2024-04-28,0,2022-09-01 02:49:15.553114,NA
"P1812000115335","Fashionable Dress","yes",88,5.99,"S1212000110747","C1912000013764",2022-09-01 02:49:13.553114,"Delivered","Cash","B1312000699226","Work","Jim","Emilee","Jim.Emilee@gmail.com","a8ff3759c5ae5d75e767c0610e140bb07cad3da809ea5945e162e3bdded6d69e","Premium",2024-04-28,0,2022-09-01 02:49:15.553114,NA
"P1812000353889","Eco-Friendly Razor","yes",25,2.99,"S1212000069873","C1912000002562",2022-09-01 02:49:13.553114,"Delivered","Cash","B1312000699226","Work","Jim","Emilee","Jim.Emilee@gmail.com","a8ff3759c5ae5d75e767c0610e140bb07cad3da809ea5945e162e3bdded6d69e","Premium",2024-04-28,0,2022-09-01 02:49:15.553114,NA
"P1812000033472","Dynamic Gaming Console","yes",249,54.99,"S1212000095770","C1912000005294",2022-09-01 03:17:18.690906,"Delivered","Cash","B1312000182276","Work","Diann","Justus","Diann.Justus@gmail.com","f0774c8000c6e4cb3cebc05f7649d2788ea7eb226a049ed63f3af4f3806ab743","Premium",2024-11-12,0,2022-09-01 03:17:20.690906,NA
"P1812000382707","Flexible Smartwatch","yes",419,56.99,"S1212000056958","C1912000010343",2022-09-01 03:17:18.690906,"Delivered","Cash","B1312000182276","Work","Diann","Justus","Diann.Justus@gmail.com","f0774c8000c6e4cb3cebc05f7649d2788ea7eb226a049ed63f3af4f3806ab743","Premium",2024-11-12,0,2022-09-01 03:17:20.690906,NA
"P1812000311357","Trendy Laptop","yes",413,29.99,"S1212000107946","C1912000004625",2022-09-01 03:17:18.690906,"Delivered","Cash","B1312000182276","Work","Diann","Justus","Diann.Justus@gmail.com","f0774c8000c6e4cb3cebc05f7649d2788ea7eb226a049ed63f3af4f3806ab743","Premium",2024-11-12,0,2022-09-01 03:17:20.690906,NA
"P1812000338442","Practical Headphones","yes",204,64.99,"S1212000012473","C1912000005294",2022-09-01 04:28:01.680545,"Delivered","Cash","B1312000483745","Home","Rina","Handy","Rina.Handy@outlook.com","77896798ebbc0849c0f18176812e77082960b10e77bc6b991a80228dfee04e46","Premium",2024-11-09,0,2022-09-01 04:28:03.680545,NA
"P1812000495711","Eco-Friendly Air Purifier","yes",306,32.99,"S1212000006917","C1912000001514",2022-09-01 04:28:01.680545,"Delivered","Cash","B1312000483745","Home","Rina","Handy","Rina.Handy@outlook.com","77896798ebbc0849c0f18176812e77082960b10e77bc6b991a80228dfee04e46","Premium",2024-11-09,0,2022-09-01 04:28:03.680545,NA
"P1812000153138","Elegant Dress","yes",153,4.99,"S1212000016867","C1912000013764",2022-09-01 05:11:26.144612,"Cancelled","Card","B1312000330979","Home","Megin","Jaime","Megin.Jaime@yahoo.com","b595847fa75603416d0bfc150910727190cc7c492093c8b650ab0ac46a374fa5","Basic",2024-06-04,10,2022-09-01 05:11:29.144612,NA
"P1812000368965","Modern Desk","yes",149,2.99,"S1212000055964","C1912000007217",2022-09-01 05:11:26.144612,"Cancelled","Card","B1312000330979","Home","Megin","Jaime","Megin.Jaime@yahoo.com","b595847fa75603416d0bfc150910727190cc7c492093c8b650ab0ac46a374fa5","Basic",2024-06-04,10,2022-09-01 05:11:29.144612,NA
"P1812000473822","Sophisticated Smartphone","yes",317,60.99,"S1212000146899","C1912000010343",2022-09-01 05:11:26.144612,"Cancelled","Card","B1312000330979","Home","Megin","Jaime","Megin.Jaime@yahoo.com","b595847fa75603416d0bfc150910727190cc7c492093c8b650ab0ac46a374fa5","Basic",2024-06-04,10,2022-09-01 05:11:29.144612,NA
"P1812000220930","Eco-Friendly Pillow","yes",457,4.99,"S1212000108184","C1912000007217",2022-09-01 07:53:18.995268,"Cancelled","Cash","B1312000786664","Home","Livie","Angenette","Livie.Angenette@gmail.com","5be59159c45966a92cb65506549b1621db35c7184ff80ecb029332e2d7191b4f","Basic",2024-04-26,10,2022-09-01 07:53:21.995268,NA
"P1812000017808","Sleek Baby Monitor","yes",79,2.99,"S1212000079917","C1912000008398",2022-09-01 07:53:18.995268,"Cancelled","Cash","B1312000786664","Home","Livie","Angenette","Livie.Angenette@gmail.com","5be59159c45966a92cb65506549b1621db35c7184ff80ecb029332e2d7191b4f","Basic",2024-04-26,10,2022-09-01 07:53:21.995268,NA
"P1812000365132","Stylish Jacket","yes",261,3.99,"S1212000145379","C1912000009328",2022-09-01 07:55:21.191729,"Delivered","Cash","B1312000436414","Home","Kelby","Gentle","Kelby.Gentle@aol.com","05f63fccecb0f85da28537dd4b1e2bbe068aa41f9517f5bc47c22a43d3166a08","VIP",2024-08-11,0,2022-09-01 07:55:22.191729,NA
"P1812000118825","Advanced Vacuum Cleaner","yes",135,22.99,"S1212000143425","C1912000001514",2022-09-01 08:10:51.300404,"Cancelled","Cash","B1312000314240","Work","Gawain","Ortensia","Gawain.Ortensia@yahoo.com","079e98c7511c4ba57c80875a74bcea208a2c5af3731fc218cbd8970015ea52b8","VIP",2024-11-14,0,2022-09-01 08:10:52.300404,NA
"P1812000132718","Stylish Refrigerator","yes",236,35.99,"S1212000092523","C1912000001514",2022-09-01 08:10:51.300404,"Cancelled","Cash","B1312000314240","Work","Gawain","Ortensia","Gawain.Ortensia@yahoo.com","079e98c7511c4ba57c80875a74bcea208a2c5af3731fc218cbd8970015ea52b8","VIP",2024-11-14,0,2022-09-01 08:10:52.300404,NA
