"carrier_id","carrier_name","carrier_phone","carrier_email"
"C1523000001","Calypso Butts","+446834928881","Calypso.Butts@parcelforcecourier.uk.ac"
"C1523000002","Kellsie Gillard","+443381446037","Kellsie.Gillard@royalmail.uk.ac"
"C1523000003","Agnola Lingner","+445948809166","Agnola.Lingner@royalmail.uk.ac"
"C1523000004","Jacques Howsam","+446101303280","Jacques.Howsam@parcelforcecourier.uk.ac"
"C1523000005","Guss Aitchison","+441204048542","Guss.Aitchison@upsdeliveryservice.uk.ac"
"C1523000006","Gabriel Courson","+443773422670","Gabriel.Courson@royalmail.uk.ac"
"C1523000007","Jules Bartosik","+444573882666","Jules.Bartosik@parcelforcecourier.uk.ac"
"C1523000008","Tabbi Dumbell","+442125838810","Tabbi.Dumbell@fedex.uk.ac"
"C1523000009","Henderson Adriani","+442361944464","Henderson.Adriani@upsdeliveryservice.uk.ac"
"C1523000010","Woodie Follet","+444862755135","Woodie.Follet@royalmail.uk.ac"
"C1523000011","Charmane Glen","+442498880961","Charmane.Glen@upsdeliveryservice.uk.ac"
"C1523000012","Bartie Couth","+441598395927","Bartie.Couth@royalmail.uk.ac"
"C1523000013","Dierdre Lawther","+449018940073","Dierdre.Lawther@royalmail.uk.ac"
"C1523000014","Elizabet Course","+443396231427","Elizabet.Course@royalmail.uk.ac"
"C1523000015","Margareta McJerrow","+445009935040","Margareta.McJerrow@royalmail.uk.ac"
"C1523000016","Maritsa Exton","+444037287993","Maritsa.Exton@upsdeliveryservice.uk.ac"
"C1523000017","Valenka Dullingham","+447058637258","Valenka.Dullingham@dpdcourierservice.uk.ac"
"C1523000018","Krystal Aplin","+442250638345","Krystal.Aplin@upsdeliveryservice.uk.ac"
"C1523000019","Fax Wilce","+449306348723","Fax.Wilce@parcelforcecourier.uk.ac"
"C1523000020","Bennie Jinda","+441145289295","Bennie.Jinda@fedex.uk.ac"
"C1523000021","Meier Casotti","+442815431818","Meier.Casotti@upsdeliveryservice.uk.ac"
"C1523000022","Nev Lumsdale","+449675133200","Nev.Lumsdale@fedex.uk.ac"
"C1523000023","Darrelle Avraam","+447431613405","Darrelle.Avraam@parcelforcecourier.uk.ac"
"C1523000024","Irma Marjoribanks","+441678746178","Irma.Marjoribanks@upsdeliveryservice.uk.ac"
"C1523000025","Willi Albinson","+442881878462","Willi.Albinson@fedex.uk.ac"
"C1523000026","Lina Athey","+441072408633","Lina.Athey@royalmail.uk.ac"
"C1523000027","Alis McCrillis","+443631851570","Alis.McCrillis@parcelforcecourier.uk.ac"
"C1523000028","Ruben Girardetti","+449784317094","Ruben.Girardetti@dpdcourierservice.uk.ac"
"C1523000029","Major Whild","+447529795528","Major.Whild@royalmail.uk.ac"
"C1523000030","Corabel Benet","+448137397850","Corabel.Benet@dpdcourierservice.uk.ac"
"C1523000031","Rudy Woodrough","+448127142510","Rudy.Woodrough@parcelforcecourier.uk.ac"
"C1523000032","Anne Gibbs","+443291407126","Anne.Gibbs@royalmail.uk.ac"
"C1523000033","Jodie Bohlin","+444809351495","Jodie.Bohlin@upsdeliveryservice.uk.ac"
"C1523000034","Arlinda Andrews","+443252416340","Arlinda.Andrews@royalmail.uk.ac"
"C1523000035","Virginie Body","+447544957062","Virginie.Body@fedex.uk.ac"
"C1523000036","Zaneta Vasyukhin","+448120627111","Zaneta.Vasyukhin@dpdcourierservice.uk.ac"
"C1523000037","Adelaide Vinter","+442860321299","Adelaide.Vinter@dpdcourierservice.uk.ac"
"C1523000038","Liane Beckitt","+443477160577","Liane.Beckitt@fedex.uk.ac"
"C1523000039","Murdock Exelby","+446536482462","Murdock.Exelby@fedex.uk.ac"
"C1523000040","Elianora Schiementz","+449910361259","Elianora.Schiementz@royalmail.uk.ac"
"C1523000041","Jakie Segge","+442250363244","Jakie.Segge@parcelforcecourier.uk.ac"
"C1523000042","Milissent Bossel","+442358220610","Milissent.Bossel@parcelforcecourier.uk.ac"
"C1523000043","Tedman Cunradi","+444323505940","Tedman.Cunradi@dpdcourierservice.uk.ac"
"C1523000044","Shirlee Stothard","+447259807497","Shirlee.Stothard@parcelforcecourier.uk.ac"
"C1523000045","Rickey Course","+449499927762","Rickey.Course@royalmail.uk.ac"
"C1523000046","Ford Ciccotto","+444661393891","Ford.Ciccotto@parcelforcecourier.uk.ac"
"C1523000047","Liam Rackham","+444999932945","Liam.Rackham@royalmail.uk.ac"
"C1523000048","Kaitlyn Mark","+443324284654","Kaitlyn.Mark@upsdeliveryservice.uk.ac"
"C1523000049","Ignaz Robiou","+444960030010","Ignaz.Robiou@royalmail.uk.ac"
"C1523000050","Jaquenetta Jersh","+441049602740","Jaquenetta.Jersh@upsdeliveryservice.uk.ac"
"C1523000051","Alley Dienes","+448116921884","Alley.Dienes@parcelforcecourier.uk.ac"
"C1523000052","Kermy Dabling","+446650813853","Kermy.Dabling@upsdeliveryservice.uk.ac"
"C1523000053","Cherri Caygill","+445856016606","Cherri.Caygill@parcelforcecourier.uk.ac"
"C1523000054","Jennette Bineham","+445669976968","Jennette.Bineham@fedex.uk.ac"
"C1523000055","Dar Niland","+441490530931","Dar.Niland@upsdeliveryservice.uk.ac"
"C1523000056","Edik Antonnikov","+447284461606","Edik.Antonnikov@upsdeliveryservice.uk.ac"
"C1523000057","Jerrome Breming","+443569658341","Jerrome.Breming@parcelforcecourier.uk.ac"
"C1523000058","Frederic Aizikovich","+441704260523","Frederic.Aizikovich@upsdeliveryservice.uk.ac"
"C1523000059","Adore Reeveley","+447755962126","Adore.Reeveley@royalmail.uk.ac"
"C1523000060","Harlan Colbron","+448178277869","Harlan.Colbron@upsdeliveryservice.uk.ac"
"C1523000061","Florri Bartolomucci","+441816553817","Florri.Bartolomucci@parcelforcecourier.uk.ac"
"C1523000062","Rosemonde McCurtin","+445381071337","Rosemonde.McCurtin@upsdeliveryservice.uk.ac"
"C1523000063","Cristine Kinig","+441951677117","Cristine.Kinig@parcelforcecourier.uk.ac"
"C1523000064","Wakefield Pauwel","+443432056653","Wakefield.Pauwel@upsdeliveryservice.uk.ac"
"C1523000065","Arleen Kob","+449193127822","Arleen.Kob@upsdeliveryservice.uk.ac"
"C1523000066","Ailbert Stivani","+449501474356","Ailbert.Stivani@upsdeliveryservice.uk.ac"
"C1523000067","Augie Chaplyn","+446147983759","Augie.Chaplyn@fedex.uk.ac"
"C1523000068","Lion Hane","+447416459175","Lion.Hane@parcelforcecourier.uk.ac"
"C1523000069","Sherie Gough","+441131625158","Sherie.Gough@fedex.uk.ac"
"C1523000070","Alexina Rosten","+444188100733","Alexina.Rosten@upsdeliveryservice.uk.ac"
"C1523000071","Caryl Burgis","+442085108947","Caryl.Burgis@upsdeliveryservice.uk.ac"
"C1523000072","King Pea","+446295136847","King.Pea@dpdcourierservice.uk.ac"
"C1523000073","Vanya Simmons","+445589195307","Vanya.Simmons@dpdcourierservice.uk.ac"
"C1523000074","Orella Tales","+449331617653","Orella.Tales@royalmail.uk.ac"
"C1523000075","Zelda Le Merchant","+449513413451","Zelda.Le.Merchant@dpdcourierservice.uk.ac"
"C1523000076","Halimeda de Mendoza","+444352307384","Halimeda.de.Mendoza@fedex.uk.ac"
"C1523000077","Gherardo Ramelet","+442907405674","Gherardo.Ramelet@parcelforcecourier.uk.ac"
"C1523000078","Therese Imeson","+446372395744","Therese.Imeson@fedex.uk.ac"
"C1523000079","Kenneth Bonnyson","+441874771040","Kenneth.Bonnyson@parcelforcecourier.uk.ac"
"C1523000080","Petunia Bettley","+447218411886","Petunia.Bettley@parcelforcecourier.uk.ac"
"C1523000081","Brooke Filipyev","+442718980670","Brooke.Filipyev@upsdeliveryservice.uk.ac"
