"address_id","address","country","state","city","street","phone_number","buyer_id","address_type"
"A1118000609267","SXI9ZT","United Kingdom","England","Southend-on-Sea","Station Road",7028695824,"B1312000474318","Home"
"A1118000443430","BYS4XJ","United Kingdom","England","Bristol","Station Road",7873418623,"B1312000129946","Work"
"A1118000995732","BWO0IP","United Kingdom","Northern Ireland","Bangor","Main Street",7494814099,"B1312000214874","Home"
"A1118000773155","CJS1CW","United Kingdom","England","Chichester","High Street",7888285628,"B1312000586521","Work"
"A1118000983704","COS7JW","United Kingdom","England","Coventry","High Street",7460512998,"B1312000531517","Home"
"A1118000514811","LQL8PM","United Kingdom","Northern Ireland","Lisburn","Main Street",7504007377,"B1312000012473","Work"
"A1118000314240","WJF3KP","United Kingdom","England","Winchester","Main Street",7653168963,"B1312000241445","Work"
"A1118000295233","SEJ5UU","United Kingdom","England","Southend-on-Sea","Park Avenue",7794238867,"B1312000727727","Work"
"A1118000854411","KMD6TN","United Kingdom","England","Kingston-upon-Hull","Main Street",7459687064,"B1312000794355","Home"
"A1118000209621","BWE9FR","United Kingdom","Wales","Bangor","Main Street",7103032340,"B1312000534137","Work"
"A1118000436414","CTC4HC","United Kingdom","England","Chichester","Main Street",7680357617,"B1312000404724","Work"
"A1118000416808","BDU0AR","United Kingdom","Wales","Bangor","Church Road",7301381932,"B1312000789841","Work"
"A1118000749268","BXP9ZT","United Kingdom","Wales","Bangor","Station Road",7609153058,"B1312000380476","Home"
"A1118000928929","KPJ3UH","United Kingdom","England","Kingston-upon-Hull","Park Avenue",7748134770,"B1312000467684","Home"
"A1118000444199","SSO0QB","United Kingdom","England","Southend-on-Sea","Park Avenue",7027516896,"B1312000015702","Work"
"A1118000308448","SIM4KN","United Kingdom","England","Southend-on-Sea","Station Road",7981908436,"B1312000051687","Work"
"A1118000189401","CPD6BN","United Kingdom","England","Colchester","Park Avenue",7329188916,"B1312000792622","Work"
"A1118000635884","PRV2NJ","United Kingdom","England","Plymouth","Park Avenue",7565185853,"B1312000708598","Home"
"A1118000319802","CWC3NI","United Kingdom","England","Carlisle","High Street",7002908687,"B1312000272960","Home"
"A1118000388637","SZF7UY","United Kingdom","England","Sheffield","Station Road",7315533396,"B1312000525398","Home"
"A1118000064415","BLM9AZ","United Kingdom","Wales","Bangor","Park Avenue",7884796886,"B1312000305810","Work"
"A1118000290696","AXK9SG","United Kingdom","Northern Ireland","Armagh","High Street",7114734833,"B1312000400342","Work"
"A1118000580726","LNY9UD","United Kingdom","England","London","Main Street",7994119990,"B1312000379214","Home"
"A1118000584916","WTR5YK","United Kingdom","England","Wells","Main Street",7150035328,"B1312000052674","Work"
"A1118000387195","WOR7JA","United Kingdom","England","Worcester","Church Road",7681192344,"B1312000298787","Work"
"A1118000479551","CBT5DT","United Kingdom","England","Chelmsford","Station Road",7243941766,"B1312000658792","Home"
