seller_id,seller_name,url,description,email,password,account_number,bank_name
S1212000001514,Fashionable Corner,https://www.FashionableCorner3RS.com,Where adventure awaits in:  Superstore .,FashionableCorner@example.com,bd83cf62ad59184dfd0aad9e1da38b0b7ea31017f0e41e87098aa02b60d6f88b,34499366,Barclays
S1212000002562,Premium Depot,https://www.PremiumDepotjPx.com,Where style meets substance:  Men's Fashion .,PremiumDepot@example.com,f33601d252f663c233f5c6dfe0c4913ac2e9659ab6124ee462d1d853c5f2c372,76672581,Lloyds
S1212000003278,Splendid Mansion,https://www.SplendidMansionBMr.com,Bringing you the best in:  Health & Sports .,SplendidMansion@example.com,2009db12f27d2080889ac6b1e9b22ca4db001b1d9ba77e43a823de38631a5b84,71079938,Natwest
S1212000004625,Majestic Deals,https://www.MajesticDealsqt6.com,Specializing in:  Mobiles & Tablets .,MajesticDeals@example.com,d24e866713d364ac30bb894d37818c477c567ad7c06d0e4aa50bf23aba24a4f4,42830859,Natwest
S1212000005294,Creative Palace,https://www.CreativePalacei0k.com,"Building a world of:  Kids & Baby, Superstore .",CreativePalace@example.com,7f353adf163cf69e29c29985ee49f6d4f447778883410ba22f3b365b396e6a51,53841117,Santander
S1212000006917,Innovative Merchants,https://www.InnovativeMerchantsRhX.com,"Where quality meets:  Home & Living, Appliances, Mobiles & Tablets .",InnovativeMerchants@example.com,b845c61b835ea259920e452fccfbde484082673c4d46267c6e8813fdcc766d94,48254183,Barclays
S1212000007217,Innovative Castle,https://www.InnovativeCastleeCX.com,Enabling your journey with:  Kids & Baby .,InnovativeCastle@example.com,d313392b239aa8d7fb8d565008fb7e605847ab401f55c039601356843301250d,40019996,HSBC
S1212000008398,Quality Fortress,https://www.QualityFortressfjz.com,"Creating wonders with:  Books, Kids & Baby, Health & Sports .",QualityFortress@example.com,a8e164e33e18129bcad347ce924043953762bbbc51ddd5f0cbf8f146db13a8bd,46431422,Barclays
S1212000009328,Harmonious Warehouse,https://www.HarmoniousWarehouseik2.com,A seller that provides:  Computing .,HarmoniousWarehouse@example.com,89e9769654fd8716a8905abf99018eff997510d867db660773c63f8d9a7f1dee,50241794,Barclays
S1212000010343,Dynamic Emporium,https://www.DynamicEmporiumfFl.com,"Bringing joy through:  Entertainment, Home & Living, Beauty & Grooming .",DynamicEmporium@example.com,15dbc580420fed9f632c23bbdc23fd2a87f5e9bc5b21aae3320c1bbbd91d3d92,27423303,Barclays
S1212000011113,Splendid Boutique,https://www.SplendidBoutiquesA3.com,"Enhancing your lifestyle with:  Kids & Baby, Computing .",SplendidBoutique@example.com,11d7333f274720918a6d778c5d472ee4ed6bffaffa1755bb4ad55c54724580e7,68545206,Natwest
S1212000012473,Sleek Coast,https://www.SleekCoastFAD.com,"Crafting experiences with:  Health & Sports, Beauty & Grooming .",SleekCoast@example.com,89eeb916e29b01b7353e2a71f527ea9b7c65e85b887fd4245303e931cd83106e,09128306,HSBC
S1212000013764,Premium Shops,https://www.PremiumShops2dx.com,Transforming lives through:  Men's Fashion .,PremiumShops@example.com,b4d9afea8660f9fc3932a399565e10673bf4a12ef986e4a824545f4987b7f618,31923381,Natwest
S1212000014701,Timeless Cave,https://www.TimelessCaveBcT.com,"Fulfilling your needs for:  Entertainment, Women's Fashion, Men's Fashion .",TimelessCave@example.com,5f59e71546244f348d3605b3fe6b7aef332ece376062d948492390bed0490bd8,72941394,Santander
S1212000015702,Fantastic Corner,https://www.FantasticCornerNfJ.com,"Where style meets substance:  Books, Women's Fashion .",FantasticCorner@example.com,e065fbbfba30ffa9437d26c6a067cb8ba599be25c49185d22c0f57902ec53366,61194880,Lloyds
S1212000016867,Flawless Tower,https://www.FlawlessTower2PV.com,"Transforming lives through:  Mobiles & Tablets, Computing .",FlawlessTower@example.com,7aaf729f3a577f51595fa0bdaecbaf8e7e0ea9cb0c3bb3b19aa896a120a13c78,81518487,Natwest
S1212000017808,Upscale Emporium,https://www.UpscaleEmporium63D.com,"Finding serenity in:  Home & Living, Men's Fashion, Books .",UpscaleEmporium@example.com,6bce20b49311fa6a5c8e3ecf5823d287dd61383566448486d186da9983748f4c,32472021,Santander
S1212000018190,Quality Arena,https://www.QualityArenaVZj.com,Inspiring greatness with:  Women's Fashion .,QualityArena@example.com,dbbfcf5c62075fede9718c4691aa346c4adc9a3a19b0e84817e4ab9863ec991a,41195502,Natwest
S1212000019447,Premier Center,https://www.PremierCenteryLY.com,"Setting the standard with:  Entertainment, Men's Fashion .",PremierCenter@example.com,eb85f5e37feb000beb1660b507bb40e6d2ff62ac9eb61778d4bd1658a50b10ba,66291340,Santander
S1212000020748,Innovative Emporium,https://www.InnovativeEmporiumJOy.com,Where comfort meets:  Computing .,InnovativeEmporium@example.com,820cdff9dab2d4e0d36b01b3170831c1d6b4a424e96e82b20fddffbe5313ec50,79824792,HSBC
S1212000021454,Innovative Station,https://www.InnovativeStationdoZ.com,Setting the standard with:  Women's Fashion .,InnovativeStation@example.com,d0a95d287cab867dbd01a81ae6dda2e19d75a964c32339a16714484e1550cbd6,00197829,HSBC
S1212000022939,Opulent Galaxy,https://www.OpulentGalaxyv0W.com,Where luxury meets:  Books .,OpulentGalaxy@example.com,4077a714aa9080ecba4bf4f1ca189d6dd30ca648368a24ba41743e50cc5b2797,01252971,Barclays
S1212000023125,Glamorous Fortress,https://www.GlamorousFortressxMU.com,"Your destination for finding:  Computing, Entertainment, Kids & Baby .",GlamorousFortress@example.com,d9a97150e46af430db4c9191fce3f667a245de6e545a948d00dfce7fbcc79b89,24899082,Natwest
S1212000024618,Reliable Warehouse,https://www.ReliableWarehouse7KT.com,Crafting a legacy with:  Home & Living .,ReliableWarehouse@example.com,98ee703c6549dc06701ed31d0f9510e46335c9a5c2ef5bcf1fc8c138643285f4,30059669,Barclays
S1212000025525,Fantastic Stores,https://www.FantasticStores1Uo.com,"Where innovation thrives:  Health & Sports, Kids & Baby .",FantasticStores@example.com,760324800d845f4c33f93a49ea9957a185fcd5e2261a3f166bb344b7c49ea327,14386666,HSBC
