"seller_id","seller_name","url","description","email","password","account_number","bank_name"
"S1212000001514","Fashionable Corner","https://www.FashionableCornersIG.com","Shaping the future with:  Superstore .","Fashionable Corner@hotmail.com","e5abe5a52105c37871cc21ff83363eacff8aeac8782fc789696953e5e761cb97","96691438","HSBC"
"S1212000002562","Premium Depot","https://www.PremiumDepotMe8.com","A seller that deals with:  Books .","Premium Depot@aol.com","6fbd80934ac1ce74102284c7a2fcd1e9a333ec9ba5c0a6c01a866807fff91c95","66664878","HSBC"
"S1212000003278","Splendid Mansion","https://www.SplendidMansionwOy.com","Transforming lives through:  Health & Sports .","Splendid Mansion@yahoo.com","bcc8857e61767b8cb3b7096b7e5a0a00a7f445f0ff1fabd35dd4e3b564b92d03","25211549","Santander"
"S1212000004625","Majestic Deals","https://www.MajesticDeals3Wu.com","Weaving dreams with:  Men's Fashion .","Majestic Deals@yahoo.com","27e7d826bb008f2f35353684ed5cd43653a92f6298b2501339c040d388207dfe","50768631","Lloyds"
"S1212000005294","Creative Palace","https://www.CreativePalacee3l.com","Weaving dreams with:  Home & Living, Computing, Kids & Baby .","Creative Palace@hotmail.com","aecd52cfe0416eb880d86e9cfbad16d6e9289013262e70b15eda0854cc25cdd2","90051991","HSBC"
"S1212000006917","Innovative Merchants","https://www.InnovativeMerchantsb1r.com","Where elegance reigns in:  Appliances .","Innovative Merchants@yahoo.com","5deee185c1e07b9e02aa0683f0c957d54fe8c11e3cfb846db560edb35029f525","01775149","Natwest"
"S1212000007217","Innovative Castle","https://www.InnovativeCastledPU.com","Experience the magic of:  Entertainment .","Innovative Castle@gmail.com","4c3d0c66936044051dc26e5cc2ec54a29f13e42ba50832ed559ad11ffde05b45","71643891","Natwest"
"S1212000008398","Quality Fortress","https://www.QualityFortressw1h.com","Curating the best of:  Computing, Books, Beauty & Grooming .","Quality Fortress@hotmail.com","0e8e4f6493cc9c078adfd7536853c2ec2cb6a4cce1cb0ce5895d6fee3c53eb0f","30929904","HSBC"
"S1212000009328","Harmonious Warehouse","https://www.HarmoniousWarehousea3k.com","Setting the standard with:  Superstore, Books .","Harmonious Warehouse@outlook.com","956ffc837eaa01b4e35aa7b438f0cc37991744a67faab1948d45ec1051b61382","35383644","HSBC"
"S1212000010343","Dynamic Emporium","https://www.DynamicEmporiumKko.com","Where happiness resides in:  Superstore, Women's Fashion .","Dynamic Emporium@gmail.com","d344da93c37410345a3854cbe32014c3c2050b614c9461a86bd61130f65f7002","72163122","Natwest"
"S1212000011113","Splendid Boutique","https://www.SplendidBoutiqueo43.com","Discovering treasures in:  Women's Fashion .","Splendid Boutique@aol.com","ef773bb5868b2eb0d5fc4570879502a1f9f4c1ae189ce20ee51d11ab9fb92747","44311525","Natwest"
"S1212000012473","Sleek Coast","https://www.SleekCoastPoo.com","Your one-stop shop for:  Entertainment .","Sleek Coast@outlook.com","12841c353b665ccd7f8dca5c612ffebb2ee01d37c0221a03687c84a4d1141894","69191610","Barclays"
"S1212000013764","Premium Shops","https://www.PremiumShopsZRO.com","Building a world of:  Health & Sports, Beauty & Grooming, Appliances .","Premium Shops@hotmail.com","6ca85b82d2bc849054fc9edf3b9a5f1b35af407866a47df5a06fc5657edba778","75183558","Natwest"
"S1212000014701","Timeless Cave","https://www.TimelessCave8yJ.com","Where innovation thrives:  Appliances, Kids & Baby, Books .","Timeless Cave@yahoo.com","2f8cbbfb3b1fe5b3ff16a7fc785e5933689876543fa8c4d9152b32bc867af95c","68763858","Lloyds"
"S1212000015702","Fantastic Corner","https://www.FantasticCornercgd.com","Capturing the essence of:  Mobiles & Tablets, Books .","Fantastic Corner@aol.com","1a8aa3d534142ba0c93bded1b4de4ff6f85b66fae85226ae05b9643211eb48c6","18818798","Natwest"
"S1212000016867","Flawless Tower","https://www.FlawlessTower3N0.com","Where happiness resides in:  Women's Fashion .","Flawless Tower@aol.com","cfc423bef63d6970e1c6d1eaf0331e71262a547f2e1a31c412201a2576d66483","91194913","Natwest"
